Team,Attendance_2010,Attendance_2011,Attendance_2012,Attendance_2013,Attendance_2014,Attendance_2015,Attendance_2016,Attendance_2017,Attendance_Total
Arizona Diamondbacks,2056519,2105432,2177617,2134795,2073730,2080145,2036216,2134375,16798829
Atlanta Braves,2510119,2372940,2420171,2548679,2354305,2001392,2020914,2505252,18733772
Baltimore Orioles,1733018,1755461,2102240,2357561,2464473,2320590,2172344,2028424,16934111
Boston Red Sox,3046445,3054001,3043003,2833333,2956089,2880694,2955434,2917678,23686677
Chicago Cubs,3062973,3017966,2882756,2642682,2652113,2959812,3232420,3199562,23650284
Chicago White Sox,2194378,2001117,1965955,1768413,1650821,1755810,1746293,1629470,14712257
Cincinnati Reds,2060551,2213498,2347251,2492059,2476664,2419506,1894085,1836917,17740531
Cleveland Indians,1391644,1840835,1603599,1572926,1437393,1388905,1591667,2048138,12875107
Colorado Rockies,2875245,2909777,2630458,2793828,2680329,2506789,2602524,2953650,21952600
Detroit Tigers,2461237,2642045,3028033,3083397,2917209,2726048,2493859,2321599,21673427
Houston Astros,2331490,2067016,1607733,1651883,1751829,2153585,2306623,2403671,16273830
Kansas City Royals,1615327,1724450,1739859,1750754,1956482,2708549,2557712,2220370,16273503
Los Angeles Angels of Anaheim,3250814,3166321,2177617,3019505,3095935,3012765,3016142,3019583,23758682
Los Angeles Dodgers,3562320,2935139,3324246,3743527,3782337,3764815,3703312,3765856,28581552
Miami Marlins,1524894,1520562,2219444,1586322,1732283,1752235,1712417,1583014,13631171
Milwaukee Brewers,2776531,3071373,2831385,2531105,2797384,2542558,2131614,2558722,21240672
Minnesota Twins,3223640,3168107,2776354,2477644,2250606,2220054,1963912,2051279,20131596
New York Mets,2559738,2378549,2219444,2135657,2148808,2569753,2789608,2460622,19262179
New York Yankees,3765807,3653680,3542406,3279589,3401624,3193795,3063405,3146966,27047272
Oakland Athletics,1418391,1476792,1679013,1809302,2003628,1768175,1521506,1475721,13152528
Philadelphia Phillies,3647249,3680718,3565718,3012403,2423852,1831080,1915144,1905354,21981518
Pittsburgh Pirates,1613399,1940429,2091918,2256862,2442564,2498596,2249021,1919447,17012236
San Diego Padres,2131774,2143018,2123721,2166691,2195373,2459752,2351426,2138491,17710246
San Francisco Giants,2195284,1896321,1721920,1761546,2064334,2193581,2267928,2135445,16236359
Seattle Mariners,3037443,3387303,3377371,3369106,3368697,3375882,3365256,3303652,26584710
St. Louis Cardinals,3301218,3093954,3262109,3369769,3540649,3520889,3444490,3447937,26981015
Tampa Bay Rays,1864999,1529188,1559681,1510300,1446464,1247668,1286163,1253619,11698082
Texas Rangers,2505171,2946949,3460280,3178273,2718733,2491875,2710402,2507760,22519443
Toronto Blue Jays,1625555,1818103,2099663,2536562,2375525,2794891,3392299,3203886,19846484
Washington Nationals,1828066,1940478,2370794,2652422,2579389,2619843,2481938,2524980,18997910
Average,2439041.3,2448384.067,2465058.633,2467563.167,2457987.4,2458667.733,2432535.8,2420048,19589286.1
Total,73171239,73451522,73951759,74026895,73739622,73760032,72976074,72601440,587678583
