Team,Payroll_2011,Payroll_2012,Payroll_2013,Payroll_2014,Payroll_2015,Payroll_2016,Payroll_2017,Payroll_2018
Arizona Diamondbacks,71892471,83513105,91676478,111622519,93785101,103516382,119773775,142943363
Atlanta Braves,100978830,100278056,97802150,118670707,119944989,111153633,115455675,129455734
Baltimore Orioles,97090041,89562368,104110369,114852943,122373976,157201852,182523427,149039681
Boston Red Sox,181931961,182484051,175344264,174313058,219334278,215416336,222582008,236014630
Chicago Cubs,145574798,124149226,112621299,92939741,138693810,188402394,182400336,198034929
Chicago White Sox,130838749,112595603,116078395,97945936,122856087,141208186,94889688,87199753
Cincinnati Reds,83580546,91901498,105834640,115224318,117967447,114153537,115323803,110877650
Cleveland Indians,60360593,79634538,98204997,87402408,83595193,114707868,139412798,155474439
Colorado Rockies,85972070,89664881,85558124,99631678,118895781,120586480,146651941,154379382
Detroit Tigers,112537915,145654784,156758139,175485620,167686021,205894085,198716174,149821565
Houston Astros,89676503,64512439,35817913,55892190,97450835,114738542,149964177,166231420
Kansas City Royals,52193273,73994235,87998434,106410000,132090935,145220358,158941822,144307483
Los Angeles Angels of Anaheim,148609559,157949825,142255103,168171651,155073662,180743007,176337209,190182439
Los Angeles Dodgers,118968915,126750217,242143975,246765226,305807580,279004794,265432625,204443744
Miami Marlins,66007393,101337674,40906442,51271396,67538625,84361206,121457599,106607932
Milwaukee Brewers,94662802,116255300,88651045,113277046,100918873,75244791,83488679,106376286
Minnesota Twins,116434594,118764827,83128898,88980178,110971318,106235357,135654177,133257817
New York Mets,147019341,110980476,109130814,99914837,120371627,156642515,154829658,172018882
New York Yankees,216784678,230687356,243518340,218040731,228578373,227365376,220658752,177798096
Oakland Athletics,78355548,65433273,74625517,96833412,84426830,99914388,85977680,82653138
Philadelphia Phillies,172052182,180853923,166864298,178712205,146933339,118509109,116874208,112122062
Pittsburgh Pirates,64623427,62053269,77832184,77099115,105015606,105866836,109840330,102969565
San Diego Padres,62010510,69389413,75131341,89408667,110015272,133681702,91963878,116206512
San Francisco Giants,129123250,140482705,143167586,175249982,198506330,182827044,197523209,224972076
Seattle Mariners,103584148,90439430,84322622,111524174,128653173,155118253,171355830,167944662
St. Louis Cardinals,119732312,126111169,127119427,125450029,138502951,164516170,148654185,171011360
Tampa Bay Rays,49907532,72602230,76583703,82606546,78724752,71329749,91016605,91575107
Texas Rangers,113366721,148751346,143719546,144055583,164345607,168520990,176899040,157830287
Toronto Blue Jays,80442604,102199922,133006168,148910072,144454464,159923579,199430487,177802917
Washington Nationals,78185823,101398813,118565374,151982082,169469195,153078852,189292654,197946873
Average Payroll,105749969.6,112012865.1,114615919.5,123954801.7,136432734.3,145169445.7,152110747.6,150583326.1
Total Payroll,3172499089,3360385952,3438477585,3718644050,4092982030,4355083371,4563322429,4517499784
