Team,Wins_2010,Wins_2011,Wins_2012,Wins_2013,Wins_2014,Wins_2015,Wins_2016,Wins_2017
Arizona Diamondbacks,65,94,81,81,64,79,69,93
Atlanta Braves,91,89,94,96,79,67,68,72
Baltimore Orioles,66,69,93,85,96,81,89,75
Boston Red Sox,89,90,69,97,71,78,93,93
Chicago Cubs,75,71,61,66,73,97,103,92
Chicago White Sox,88,79,85,63,73,76,78,67
Cincinnati Reds,91,79,97,90,76,64,68,68
Cleveland Indians,69,80,68,92,85,81,94,102
Colorado Rockies,83,73,64,74,66,68,75,87
Detroit Tigers,81,95,88,93,90,74,86,64
Houston Astros,76,56,55,51,70,86,84,101
Kansas City Royals,67,71,72,86,89,95,81,80
Los Angeles Angels of Anaheim,80,86,89,78,98,85,74,80
Los Angeles Dodgers,80,82,86,92,94,92,91,104
Miami Marlins,80,72,69,62,77,71,79,77
Milwaukee Brewers,77,96,83,74,82,68,73,86
Minnesota Twins,94,63,66,66,70,83,59,85
New York Mets,79,77,74,74,79,90,87,70
New York Yankees,95,97,95,85,84,87,84,91
Oakland Athletics,81,74,94,96,88,68,69,75
Philadelphia Phillies,97,102,81,73,73,63,71,66
Pittsburgh Pirates,57,72,79,94,88,98,78,75
San Diego Padres,90,71,76,76,77,74,68,71
San Francisco Giants,92,86,94,76,88,84,87,64
Seattle Mariners,61,67,75,71,87,76,86,78
St. Louis Cardinals,86,90,88,97,90,100,86,83
Tampa Bay Rays,96,91,90,92,77,80,68,80
Texas Rangers,90,96,93,91,67,88,95,78
Toronto Blue Jays,85,81,73,74,83,93,89,76
Washington Nationals,69,80,98,86,96,83,95,97
